time,accel_x,accel_y,accel_z
350.58,3.431465,-0.326806,-7.516542
350.6,3.431465,-0.359487,-7.581904
350.62,3.594868,-0.457529,-7.90871
350.64,3.69291,-0.359487,-8.170155
350.66,3.69291,-0.326806,-7.941391
350.68,3.562187,-0.261445,-8.137475
350.7,3.69291,-0.228764,-8.268197
350.72,3.725591,-0.359487,-8.235516
350.74,3.66023,-0.228764,-8.496961
350.76,3.725591,-0.457529,-8.595003
350.78,3.823633,-0.228764,-8.95449
350.8,3.790952,-0.424848,-9.379338
350.82,3.823633,-0.490209,-9.575422
350.84,3.954355,-0.424848,-10.00027
350.86,3.954355,-0.392167,-9.771505
350.88,4.052397,-0.490209,-9.804186
350.9,4.052397,-0.52289,-9.869548
350.92,4.117758,-0.457529,-9.836867
350.94,4.150439,-0.620932,-9.967589
350.96,4.248481,-0.52289,-10.163673
350.98,4.281161,-0.424848,-10.327076
351,4.2158,-0.52289,-10.52316
351.02,4.2158,-0.620932,-10.457799
351.04,4.411884,-0.392167,-10.882646
351.06,4.411884,-0.392167,-11.013369
351.08,4.248481,-0.424848,-11.144091
351.1,4.2158,-0.52289,-10.55584
351.12,4.313842,-0.424848,-10.00027
351.14,4.313842,-0.294126,-9.477379
351.16,4.052397,-0.228764,-9.150573
351.18,3.921674,-0.294126,-8.856448
351.2,4.052397,-0.163403,-9.150573
351.22,4.085078,-0.261445,-9.477379
351.24,4.085078,-0.294126,-9.934909
351.26,4.183119,-0.261445,-10.261715
351.28,4.248481,-0.032681,-10.392438
351.3,4.085078,-0.098042,-9.934909
351.32,3.823633,-0.065361,-9.804186
351.34,3.921674,-0.163403,-10.03295
351.36,4.052397,0.130722,-10.261715
351.38,3.921674,-0.065361,-10.327076
351.4,3.921674,-0.032681,-10.621201
351.42,4.019716,-0.065361,-10.948007
351.44,4.183119,0.098042,-10.980689
351.46,3.954355,-0.032681,-10.849966
351.48,4.150439,0.294126,-11.013369
351.5,4.019716,0.326806,-11.111411
351.52,4.019716,0,-11.04605
351.54,4.150439,0.457529,-11.242133
351.56,3.856313,0.098042,-11.242133
351.58,4.117758,0.294126,-11.144091
351.6,3.987036,0.261445,-10.948008
351.62,4.085078,0.163403,-10.817285
351.64,4.2158,0.326806,-10.817285
351.66,3.627549,0,-10.817285
351.68,4.085078,0.130722,-11.144092
351.7,3.987036,0.163403,-10.751924
351.72,3.69291,0.130722,-11.013369
351.74,3.790952,0.555571,-11.307494
351.76,3.823632,0.326806,-11.6343
351.78,3.562188,0.032681,-12.026469
351.8,3.954355,0.392167,-12.026469
351.82,4.117758,0.359487,-11.797704
351.84,3.562188,-0.294126,-12.189871
351.86,3.987036,0.228764,-12.810803
351.88,4.2158,0.424848,-12.680081
351.9,3.725591,-0.163403,-12.320594
351.92,3.921674,-0.098042,-12.680081
351.94,4.2158,0.424848,-11.830385
351.96,3.529507,0.032681,-11.470898
351.98,3.627549,0.032681,-11.176772
352,3.921674,0.326806,-10.948008
352.02,3.594868,0.065361,-10.751924
352.04,3.464146,0.032681,-10.915327
352.06,3.921674,0.326806,-10.882647
352.08,3.725591,0.261445,-10.621202
352.1,3.594868,0.032681,-10.751924
352.12,3.69291,0.392167,-10.915327
352.14,3.594868,0.457529,-11.209453
352.16,3.431465,-0.065361,-12.12451
352.18,3.790952,0.261445,-13.366373
352.2,4.150439,0.359487,-13.889263
352.22,3.856313,-0.065361,-13.889263
352.24,3.856313,-0.294126,-13.889263
352.26,4.379203,0.261445,-13.954624
