time,gyro_x,gyro_y,gyro_z
258.34,-0.128282,0.208567,0.08203
258.36,-0.138754,0.166679,0.075922
258.38,-0.166679,0.133518,0.081158
258.4,-0.322013,0.097738,0.059341
258.42,-0.332485,0.426733,-0.009599
258.44,-0.315032,0.910189,-0.070686
258.46,-0.342957,0.503527,-0.069813
258.48,-0.244346,0.041888,-0.054105
258.5,-0.171915,-0.003491,-0.038397
258.52,-0.154462,-0.041888,-0.034034
258.54,-0.241728,-0.07854,-0.014835
258.56,-0.185005,-0.098611,-0.011345
258.58,-0.22602,-0.125664,-0.000873
258.6,-0.137008,-0.123918,0.013963
258.62,-0.13439,-0.128282,0.027925
258.64,-0.09512,-0.127409,0.024435
258.66,-0.137881,-0.116937,0.025307
258.68,-0.123918,-0.116937,0.025307
258.7,-0.144862,-0.122173,0.02618
258.72,-0.163188,-0.116937,0.037525
258.74,-0.161443,-0.100356,0.045379
258.76,-0.211185,-0.090757,0.044506
258.78,-0.246091,-0.081158,0.045379
258.8,-0.241728,-0.069813,0.048869
258.82,-0.191114,-0.055851,0.053233
258.84,-0.159698,-0.050615,0.063705
258.86,-0.102102,-0.044506,0.079412
258.88,-0.038397,-0.061959,0.077667
258.9,-0.018326,-0.059341,0.064577
258.92,0.037525,-0.049742,0.071559
258.94,0.061087,-0.034034,0.080285
258.96,0.082903,-0.020071,0.089012
258.98,0.061959,-0.002618,0.093375
259,0.034907,0.013963,0.088139
259.02,0.038397,0.046251,0.085521
259.04,0.084648,0.069813,0.079412
259.06,0.125664,0.075049,0.073304
259.08,0.141372,0.083776,0.061959
259.1,0.163188,0.089012,0.043633
259.12,0.171915,0.102974,0.023562
259.14,0.198968,0.113446,0.006109
259.16,0.215548,0.103847,-0.012217
259.18,0.275762,0.088139,-0.017453
259.2,0.280998,0.063705,-0.021817
259.22,0.394444,0.053233,-0.025307
259.24,0.472984,0.042761,-0.035779
259.26,0.53058,0.032289,-0.043633
259.28,0.509636,0.008727,-0.051487
259.3,0.507018,-0.001745,-0.056723
259.32,0.506145,-0.015708,-0.062832
259.34,0.498291,-0.03927,-0.068941
259.36,0.507018,-0.046251,-0.068941
259.38,0.498291,-0.069813,-0.058469
259.4,0.486947,-0.089012,-0.055851
259.42,0.509636,-0.094248,-0.047124
259.44,0.54367,-0.099484,-0.042761
259.46,0.561123,-0.093375,-0.037525
259.48,0.522726,-0.10472,-0.032289
259.5,0.457276,-0.096866,-0.020944
259.52,0.39619,-0.088139,-0.019199
259.54,0.319395,-0.082903,-0.005236
259.56,0.318523,-0.073304,-0.006981
259.58,0.26529,-0.075049,-0.013963
259.6,0.23911,-0.080285,-0.019199
259.62,0.233874,-0.088139,-0.021817
259.64,0.201586,-0.100356,-0.019199
259.66,0.14748,-0.094248,-0.021817
259.68,0.027053,-0.095993,-0.027053
259.7,-0.070686,-0.094248,-0.031416
259.72,-0.219039,-0.111701,-0.035779
259.74,-0.324631,-0.131772,-0.027053
259.76,-0.364774,-0.16057,-0.017453
259.78,-0.404044,-0.178024,-0.001745
259.8,-0.690278,-0.157952,-0.002618
259.82,-1.062033,0.103847,-0.043633
259.84,-1.288926,0.38659,-0.07854
259.86,-1.250528,0.469494,-0.068941
259.88,-1.368338,0.370882,-0.047124
259.9,-0.972148,0.254818,-0.016581
259.92,-1.028872,0.120428,0.016581
259.94,-0.647517,0.012217,0.031416
259.96,-0.370882,-0.060214,0.023562
259.98,-0.028798,-0.012217,0.019199
260,0.198968,0.02618,0.019199
260.02,0.249582,0.007854,-0.001745
260.04,0.191986,-0.023562,-0.017453
260.06,-0.055851,-0.069813,-0.02618
260.08,-0.063705,-0.102974,-0.047997
260.1,-0.15708,-0.14399,-0.056723
260.12,-0.027925,-0.155334,-0.080285
260.14,0.143117,-0.103847,-0.100356
260.16,0.347321,-0.027925,-0.114319
260.18,0.421497,0.051487,-0.126536
260.2,0.282743,0.089012,-0.123046
260.22,0.228638,0.074176,-0.116937
260.24,-0.102974,0.02618,-0.115192
260.26,-0.218166,-0.031416,-0.109956
260.28,-0.275762,-0.084648,-0.119555
260.3,-0.19984,-0.124791,-0.120428
260.32,-0.017453,-0.116937,-0.1213
260.34,0.116937,-0.076794,-0.1213
260.36,0.178896,-0.024435,-0.127409
260.38,0.144862,0.048869,-0.123918
260.4,0.045379,0.102974,-0.123918
260.42,-0.019199,0.137881,-0.116064
260.44,-0.068068,0.122173,-0.096866
260.46,-0.025307,0.056723,-0.064577
260.48,-0.063705,-0.017453,-0.041015
260.5,-0.081158,-0.086394,-0.025307
260.52,-0.130027,-0.126536,-0.025307
260.54,-0.114319,-0.164934,-0.038397
260.56,-0.036652,-0.182387,-0.042761
260.58,-0.006109,-0.146608,-0.044506
260.6,0.162316,-0.058469,-0.054105
260.62,0.202458,0.047997,-0.054978
260.64,0.18675,0.154462,-0.071558
260.66,0.102102,0.176278,-0.051487
260.68,0.102974,0.142244,-0.034907
260.7,-0.020944,0.079412,-0.018326
260.72,-0.000873,0.032289,-0.012217
260.74,-0.175406,-0.022689,-0.003491
260.76,-0.259181,-0.077667,0.000873
260.78,-0.285361,-0.113446,0.012217
260.8,-0.213803,-0.132645,0.012217
260.82,-0.041888,-0.148353,0.002618
260.84,0.114319,-0.082903,0.006981
260.86,0.267035,-0.010472,0.023562
260.88,0.300197,0.024435,0.011345
260.9,0.219911,0.034907,0.000873
260.92,0.062832,0.049742,0.011345
260.94,0,0.02618,0.012217
260.96,-0.054978,0.01309,0.019199
260.98,-0.136136,-0.01309,0.044506
261,-0.139626,-0.008727,0.059341
261.02,-0.162316,-0.011345,0.056723
261.04,-0.119555,-0.006109,0.053233
261.06,-0.020944,0.094248,0.063705
261.08,-0.088139,0.161443,0.07854
261.1,-0.037525,0.141372,0.087266
261.12,-0.046251,0.096866,0.093375
261.14,-0.020944,0.062832,0.08203
261.16,-0.09163,0.040143,0.084648
261.18,-0.02618,0.027925,0.067195
261.2,-0.063705,0.011345,0.057596
261.22,0.01309,0.004363,0.055851
261.24,-0.016581,0,0.046251
261.26,0.025307,0.002618,0.040143
261.28,-0.015708,0.022689,0.036652
261.3,-0.064577,0.037525,0.027053
261.32,-0.074176,0.05236,0.021817
261.34,-0.096866,0.058469,0.017453
261.36,-0.036652,0.072431,0.017453
261.38,-0.027053,0.083776,0.029671
261.4,0.020071,0.095993,0.027925
261.42,-0.005236,0.090757,0.019199
261.44,-0.016581,0.102974,0.01309
261.46,0.004363,0.111701,0.005236
261.48,0.015708,0.124791,-0.012217
261.5,-0.034907,0.1309,-0.018326
261.52,-0.027925,0.137881,-0.023562
261.54,-0.034907,0.133518,-0.020944
261.56,-0.031416,0.137881,-0.020071
261.58,-0.01309,0.138754,-0.013963
261.6,0.086394,0.150098,0.007854
261.62,0.137008,0.151844,0.028798
261.64,0.150098,0.140499,0.044506
261.66,0.073304,0.135263,0.05236
261.68,0.001745,0.14399,0.045379
261.7,-0.012217,0.153589,0.041015
261.72,-0.041888,0.169297,0.042761
261.74,-0.073304,0.194604,0.034907
261.76,-0.050615,0.230383,0.034034
261.78,-0.016581,0.255691,0.033161
261.8,0.017453,0.274889,0.036652
261.82,-0.015708,0.279253,0.034034
261.84,-0.059341,0.287979,0.034907
261.86,-0.154462,0.287979,0.027925
261.88,-0.137008,0.272271,0.022689
261.9,-0.10472,0.259181,0.030543
261.92,-0.093375,0.241728,0.031416
261.94,-0.105592,0.262672,0.046251
261.96,-0.139626,0.275762,0.048869
261.98,-0.109083,0.284489,0.048869
262,-0.102102,0.298451,0.064577
262.02,-0.041888,0.29147,0.07854
262.04,-0.029671,0.287107,0.089012
262.06,-0.03927,0.289725,0.093375
262.08,-0.097738,0.286234,0.085521
262.1,-0.150098,0.293215,0.072431
262.12,-0.113446,0.293215,0.067195
262.14,-0.087266,0.307178,0.068941
262.16,-0.045379,0.308923,0.075922
262.18,-0.075049,0.270526,0.087266
262.2,-0.006109,0.267035,0.10472
262.22,-0.017453,0.274017,0.113446
262.24,-0.041888,0.299324,0.102102
262.26,-0.068068,0.308051,0.092502
262.28,-0.075922,0.296706,0.098611
262.3,-0.041015,0.274017,0.102102
262.32,0.023562,0.26529,0.109083
262.34,0.095993,0.254818,0.110828
262.36,0.153589,0.244346,0.101229
262.38,0.180642,0.245219,0.087266
262.4,0.205076,0.244346,0.067195
262.42,0.22602,0.242601,0.045379
262.44,0.277507,0.233001,0.034034
262.46,0.322013,0.227765,0.01309
262.48,0.349066,0.226893,0.002618
262.5,0.370882,0.227765,0.004363
262.52,0.385718,0.207694,0.015708
262.54,0.40928,0.190241,0.019199
262.56,0.382227,0.176278,0.008727
262.58,0.331613,0.175406,0.007854
262.6,0.259181,0.182387,-0.000873
262.62,0.150971,0.175406,-0.012217
262.64,0.079412,0.177151,-0.023562
262.66,0.036652,0.17017,-0.02618
262.68,0.017453,0.163188,-0.034034
262.7,-0.001745,0.169297,-0.059341
262.72,-0.018326,0.181514,-0.077667
262.74,-0.035779,0.166679,-0.075922
262.76,-0.097738,0.153589,-0.077667
262.78,-0.13439,0.132645,-0.070686
262.8,-0.085521,0.129154,-0.081158
262.82,-0.035779,0.123046,-0.086394
262.84,-0.024435,0.11781,-0.09512
262.86,-0.046251,0.106465,-0.099484
262.88,-0.051487,0.114319,-0.090757
262.9,-0.058469,0.127409,-0.094248
262.92,-0.089884,0.145735,-0.107338
262.94,-0.128282,0.145735,-0.124791
262.96,-0.207694,0.143117,-0.140499
262.98,-0.248709,0.14748,-0.133518
263,-0.193732,0.146608,-0.130027
263.02,-0.084648,0.112574,-0.116064
263.04,0.017453,0.085521,-0.10472
263.06,0.062832,0.073304,-0.092502
263.08,0.075049,0.067195,-0.067195
263.1,0.1213,0.077667,-0.054978
263.12,0.1213,0.100356,-0.05236
263.14,0.086394,0.116937,-0.06545
263.16,0.123046,0.141372,-0.076794
263.18,0.066323,0.145735,-0.085521
263.2,0.024435,0.152716,-0.07854
263.22,-0.018326,0.146608,-0.083776
263.24,-0.098611,0.126536,-0.064577
263.26,0.003491,0.109956,-0.038397
263.28,-0.016581,0.098611,-0.030543
263.3,-0.100356,0.073304,-0.032289
263.32,-0.228638,0.043633,-0.034907
263.34,-0.33074,0.02618,-0.040143
263.36,-0.376991,0.011345,-0.062832
263.38,-0.397935,0.010472,-0.069813
263.4,-0.362156,0.02618,-0.073304
263.42,-0.283616,0.024435,-0.075049
263.44,-0.214675,0.021817,-0.067195
263.46,-0.159698,0.006109,-0.057596
263.48,-0.153589,0.01309,-0.029671
263.5,-0.211185,0.034034,-0.010472
263.52,-0.275762,0.040143,-0.002618
263.54,-0.285361,0.02618,0.009599
263.56,-0.23911,0.007854,0.024435
263.58,-0.156207,-0.006981,0.040143
263.6,-0.058469,-0.02618,0.05236
263.62,0.011345,-0.042761,0.068068
263.64,0.010472,-0.061959,0.079412
263.66,0.022689,-0.074176,0.098611
263.68,0.062832,-0.07854,0.116937
263.7,0.107338,-0.101229,0.126536
263.72,0.099484,-0.124791,0.127409
263.74,-0.002618,-0.156207,0.124791
263.76,-0.143117,-0.185005,0.11781
263.78,-0.198968,-0.214675,0.120428
263.8,-0.194604,-0.223402,0.116937
263.82,-0.171042,-0.206822,0.118682
263.84,-0.112574,-0.177151,0.116937
263.86,-0.038397,-0.156207,0.116937
263.88,0.006109,-0.166679,0.135263
263.9,-0.031416,-0.163188,0.139626
263.92,-0.063705,-0.156207,0.142244
263.94,-0.064577,-0.157952,0.153589
263.96,-0.041015,-0.159698,0.162316
263.98,-0.011345,-0.16057,0.176278
264,0.064577,-0.16057,0.197222
264.02,0.10472,-0.156207,0.205076
264.04,0.167552,-0.139626,0.211185
264.06,0.184132,-0.125664,0.215548
264.08,0.216421,-0.112574,0.216421
264.1,0.214676,-0.105592,0.21293
264.12,0.22602,-0.102974,0.211185
264.14,0.203331,-0.10472,0.201586
264.16,0.184132,-0.092502,0.19635
264.18,0.178024,-0.09163,0.190241
264.2,0.161443,-0.098611,0.187623
