time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4.18,1.209183,0.130722,-9.836866,-0.024435,0.023562,0.012217
4.2,1.176502,0.228764,-9.836866,-0.030543,0.023562,0.009599
4.22,1.176502,0.228764,-9.706144,-0.023562,0.031416,0.005236
4.24,1.176502,0.228764,-9.771505,-0.019199,0.017453,0.01309
4.26,1.143822,0.261445,-9.771505,-0.01309,0.020071,0.012217
4.28,1.209183,0.196084,-9.738825,-0.007854,0.022689,0.006981
4.3,1.209183,0.228764,-9.771505,0.003491,0.023562,0.002618
4.32,1.209183,0.163403,-9.804186,-0.007854,0.025307,0.005236
4.34,1.143822,0.196084,-9.804186,-0.025307,0.020944,0.012217
4.36,1.111141,0.196084,-9.771505,-0.016581,0.016581,-0.004363
4.38,1.209183,0.163403,-9.738825,-0.031416,0.021817,0.006981
4.4,1.143822,0.196084,-9.771505,-0.034034,0.011345,0.002618
4.42,1.176502,0.228764,-9.804186,-0.022689,0.013963,0.010472
4.44,1.176502,0.163403,-9.771505,-0.016581,0.029671,0.014835
4.46,1.209183,0.228764,-9.804186,-0.006981,0.006109,-0.002618
4.48,1.143822,0.228764,-9.836866,0,0.027053,0.021817
4.5,1.209183,0.294126,-9.771505,-0.010472,0.020944,0.016581
4.52,1.209183,0.261445,-9.836866,-0.000873,0.022689,0.002618
4.54,1.143822,0.163403,-9.869547,0,0.013963,0.01309
4.56,1.143822,0.196084,-9.771505,-0.010472,0.014835,0.004363
4.58,1.143822,0.163403,-9.738825,-0.012217,0.020944,0.006109
4.6,1.176502,0.261445,-9.738825,-0.022689,0.016581,0.009599
4.62,1.176502,0.228764,-9.836866,-0.018326,0.027053,0.018326
4.64,1.209183,0.163403,-9.804186,-0.022689,0.016581,0.010472
4.66,1.143822,0.228764,-9.738825,-0.012217,0.02618,0.005236
4.68,1.209183,0.261445,-9.738825,-0.009599,0.024435,0.012217
4.7,1.209183,0.294126,-9.771505,-0.008727,0.014835,0.008727
4.72,1.176502,0.163403,-9.771505,-0.007854,0.023562,0.018326
4.74,1.143822,0.228764,-9.771505,-0.007854,0.014835,0.01309
4.76,1.07846,0.228764,-9.771505,0.000873,0.020071,0.008727
4.78,1.176502,0.163403,-9.836866,-0.013963,0.018326,0.001745
4.8,1.176502,0.228764,-9.836866,-0.021817,0.021817,0.010472
4.82,1.241864,0.130722,-9.804186,-0.022689,0.020944,0.010472
4.84,1.176502,0.163403,-9.738825,-0.019199,0.019199,0.013963
4.86,1.176502,0.228764,-9.836866,-0.027053,0.024435,0.006981
4.88,1.07846,0.261445,-9.804186,-0.020071,0.01309,0.010472
4.9,1.143822,0.228764,-9.771505,-0.005236,0.01309,0.004363
4.92,1.209183,0.196084,-9.738825,-0.022689,0.011345,0.006981
4.94,1.143822,0.196084,-9.804186,-0.020071,0.027925,0.002618
4.96,1.176502,0.163403,-9.804186,0.005236,0.017453,0.002618
4.98,1.241864,0.228764,-9.706144,-0.010472,0.024435,0.009599
5,1.209183,0.228764,-9.738825,-0.019199,0.008727,0.014835
5.02,1.176502,0.163403,-9.804186,-0.021817,0.016581,0.003491
5.04,1.111141,0.228764,-9.804186,-0.031416,0.016581,0.008727
5.06,1.209183,0.196084,-9.738825,-0.03927,0.020944,-0.000873
5.08,1.143822,0.163403,-9.804186,-0.017453,0.027053,0.001745
5.1,1.176502,0.163403,-9.771505,-0.011345,0.023562,-0.001745
5.12,1.143822,0.130722,-9.869547,-0.003491,0.019199,0.008727
5.14,1.143822,0.196084,-9.804186,-0.004363,0.015708,0.006981
5.16,1.143822,0.228764,-9.771505,-0.011345,0.027053,-0.007854
5.18,1.176502,0.261445,-9.771505,-0.003491,0.021817,0.006981
5.2,1.209183,0.196084,-9.836866,-0.005236,0.015708,-0.005236
5.22,1.176502,0.196084,-9.869547,-0.018326,0.015708,0.004363
5.24,1.143822,0.130722,-9.738825,-0.014835,0.011345,-0.000873
5.26,1.111141,0.196084,-9.771505,-0.017453,0.007854,0.000873
5.28,1.111141,0.228764,-9.836866,-0.020944,0.018326,0.006109
5.3,1.176502,0.228764,-9.804186,-0.034034,0.027053,0.012217
5.32,1.176502,0.163403,-9.836866,-0.021817,0.020071,0.007854
5.34,1.307225,0.228764,-9.738825,-0.019199,0.019199,0.006109
5.36,1.143822,0.196084,-9.771505,-0.020071,0.020071,0.006981
5.38,1.209183,0.196084,-9.836866,-0.025307,0.011345,0.019199
5.4,1.176502,0.261445,-9.804186,-0.008727,0.009599,0.000873
5.42,1.143822,0.196084,-9.836866,-0.012217,0.027925,0.007854
5.44,1.143822,0.130722,-9.804186,-0.013963,0.021817,-0.006109
5.46,1.176502,0.261445,-9.804186,-0.010472,0.020071,0.005236
5.48,1.209183,0.196084,-9.771505,-0.012217,0.025307,0.013963
5.5,1.176502,0.130722,-9.771505,-0.011345,0.023562,0.01309
5.52,1.176502,0.130722,-9.804186,-0.012217,0.02618,0.003491
5.54,1.111141,0.196084,-9.738825,-0.006981,0.023562,0.009599
5.56,1.143822,0.163403,-9.771505,-0.007854,0.018326,0.007854
5.58,1.209183,0.261445,-9.771505,-0.006981,0.015708,0.004363
5.6,1.176502,0.261445,-9.836866,-0.027925,0.013963,0.020944
5.62,1.176502,0.228764,-9.804186,-0.021817,0.020071,-0.004363
5.64,1.111141,0.228764,-9.869547,-0.02618,0.023562,-0.001745
5.66,1.176502,0.163403,-9.804186,-0.018326,0.010472,-0.001745
5.68,1.143822,0.228764,-9.771505,-0.02618,0.017453,0.008727
5.7,1.176502,0.228764,-9.804186,-0.020944,0.024435,0.003491
5.72,1.176502,0.196084,-9.804186,-0.019199,0.017453,-0.006981
5.74,1.209183,0.130722,-9.706144,-0.037525,0.027053,0.012217
5.76,1.274544,0.196084,-9.804186,-0.011345,0.023562,0.018326
5.78,1.209183,0.261445,-9.771505,-0.018326,0.015708,0.013963
5.8,1.143822,0.261445,-9.771505,-0.002618,0.020071,0
5.82,1.176502,0.196084,-9.738825,-0.015708,0.01309,0.007854
5.84,1.111141,0.294126,-9.836866,-0.008727,0.013963,0.005236
5.86,1.143822,0.196084,-9.771505,-0.021817,0.020944,0.004363
5.88,1.111141,0.261445,-9.771505,-0.01309,0.011345,0.005236
5.9,1.176502,0.196084,-9.771505,-0.027053,0.019199,0.000873
5.92,1.143822,0.228764,-9.738825,-0.024435,0.020071,-0.008727
5.94,1.143822,0.294126,-9.836866,-0.015708,0.023562,0.002618
5.96,1.176502,0.196084,-9.869547,-0.011345,0.025307,0.013963
5.98,1.176502,0.228764,-9.804186,-0.018326,0.018326,0.005236
6,1.111141,0.228764,-9.771505,-0.024435,0.008727,0.003491
6.02,1.176502,0.163403,-9.738825,-0.032289,0.017453,0.006109
6.04,1.143822,0.228764,-9.771505,-0.011345,0.013963,0.009599
6.06,1.143822,0.196084,-9.738825,-0.017453,0.013963,0.001745
6.08,1.209183,0.196084,-9.836866,-0.018326,0.021817,0.005236
6.1,1.209183,0.196084,-9.738825,-0.01309,0.013963,0.006109
6.12,1.209183,0.130722,-9.771505,-0.008727,0.018326,0.010472
6.14,1.176502,0.196084,-9.738825,-0.010472,0.023562,0.012217
6.16,1.143822,0.261445,-9.771505,-0.004363,0.019199,-0.000873
6.18,1.143822,0.196084,-9.869547,-0.010472,0.021817,0.015708
6.2,1.111141,0.196084,-9.804186,-0.023562,0.023562,0.005236
6.22,1.143822,0.228764,-9.804186,-0.018326,0.020071,0.002618
6.24,1.209183,0.130722,-9.771505,-0.004363,0.020071,0.015708
6.26,1.111141,0.228764,-9.804186,-0.013963,0.011345,0.012217
6.28,1.143822,0.196084,-9.804186,-0.02618,0.01309,-0.000873
6.3,1.209183,0.163403,-9.771505,-0.013963,0.015708,0.016581
6.32,1.176502,0.163403,-9.804186,-0.025307,0.027053,0.004363
6.34,1.209183,0.261445,-9.706144,-0.018326,0.022689,-0.006981
6.36,1.176502,0.163403,-9.771505,-0.015708,0.024435,0.021817
6.38,1.176502,0.196084,-9.836866,-0.009599,0.020071,0.005236
6.4,1.209183,0.196084,-9.738825,-0.01309,0.016581,-0.000873
6.42,1.176502,0.228764,-9.804186,-0.001745,0.013963,0.006981
6.44,1.143822,0.196084,-9.836866,-0.007854,0.025307,0.004363
6.46,1.143822,0.130722,-9.836866,-0.013963,0.021817,0.002618
6.48,1.209183,0.196084,-9.738825,-0.020071,0.017453,0.006109
6.5,1.176502,0.163403,-9.771505,-0.01309,0.020944,0.011345
6.52,1.176502,0.196084,-9.804186,-0.022689,0.027053,0.011345
6.54,1.143822,0.261445,-9.836866,-0.030543,0.017453,0.001745
6.56,1.209183,0.130722,-9.771505,-0.022689,0.027053,0.011345
6.58,1.209183,0.228764,-9.771505,-0.012217,0.012217,0.011345
6.6,1.209183,0.228764,-9.738825,-0.002618,0.020944,0.016581
6.62,1.111141,0.196084,-9.771505,0.012217,0.02618,0.009599
6.64,1.274544,0.196084,-9.804186,0.005236,0.025307,0.010472
6.66,1.111141,0.261445,-9.738825,-0.008727,0.016581,0.010472
6.68,1.143822,0.163403,-9.804186,-0.008727,0.019199,0.000873
6.7,1.111141,0.261445,-9.804186,-0.027925,0.010472,0.007854
6.72,1.111141,0.163403,-9.771505,-0.037525,0.02618,0.011345
6.74,1.176502,0.163403,-9.738825,-0.033161,0.015708,0.011345
6.76,1.07846,0.261445,-9.804186,-0.011345,0.021817,0
6.78,1.209183,0.228764,-9.738825,-0.020944,0.013963,0.012217
6.8,1.143822,0.228764,-9.771505,-0.010472,0.021817,-0.005236
6.82,1.176502,0.228764,-9.804186,-0.002618,0.018326,0.010472
6.84,1.111141,0.228764,-9.836866,-0.014835,0.023562,0.002618
6.86,1.209183,0.261445,-9.804186,-0.000873,0.017453,0.006981
6.88,1.143822,0.196084,-9.804186,-0.009599,0.004363,0.013963
6.9,1.143822,0.196084,-9.836866,-0.021817,0.016581,0.006981
6.92,1.176502,0.196084,-9.804186,-0.014835,0.017453,0.010472
6.94,1.176502,0.228764,-9.771505,-0.017453,0.012217,0.013963
6.96,1.176502,0.163403,-9.771505,-0.022689,0.011345,0.010472
6.98,1.176502,0.228764,-9.706144,-0.02618,0.018326,0.014835
7,1.143822,0.261445,-9.771505,-0.021817,0.021817,0.007854
7.02,1.176502,0.294126,-9.771505,-0.009599,0.016581,0.013963
7.04,1.176502,0.228764,-9.771505,-0.01309,0.020944,0.01309
7.06,1.176502,0.294126,-9.738825,-0.017453,0.018326,0.013963
7.08,1.143822,0.196084,-9.804186,-0.029671,0.018326,-0.000873
7.1,1.176502,0.228764,-9.804186,-0.010472,0.024435,0.001745
7.12,1.143822,0.228764,-9.804186,-0.01309,0.018326,0.006109
7.14,1.176502,0.163403,-9.771505,0.007854,0.010472,0.015708
7.16,1.209183,0.196084,-9.738825,-0.015708,0.021817,0.000873
7.18,1.209183,0.163403,-9.771505,-0.01309,0.023562,0.006109
7.2,1.143822,0.163403,-9.771505,-0.019199,0.02618,0.000873
7.22,1.111141,0.261445,-9.771505,-0.018326,0.009599,0.016581
7.24,1.176502,0.163403,-9.836866,-0.024435,0.012217,0.009599
7.26,1.176502,0.196084,-9.804186,-0.024435,0.024435,0.004363
7.28,1.209183,0.294126,-9.738825,-0.015708,0.02618,0.008727
7.3,1.143822,0.196084,-9.771505,-0.019199,0.019199,0.006109
7.32,1.241864,0.163403,-9.836866,-0.027925,0.023562,0.011345
7.34,1.143822,0.261445,-9.869547,-0.010472,0.020071,0.006109
7.36,1.143822,0.228764,-9.771505,-0.011345,0.019199,0.002618
7.38,1.274544,0.196084,-9.738825,-0.006981,0.027925,0.000873
7.4,1.176502,0.196084,-9.836866,-0.021817,0.015708,0.006981
7.42,1.143822,0.196084,-9.804186,-0.006109,0.016581,0.009599
7.44,1.143822,0.196084,-9.836866,-0.020944,0.022689,0.005236
7.46,1.209183,0.163403,-9.738825,-0.022689,0.019199,0.007854
7.48,1.176502,0.196084,-9.738825,-0.008727,0.022689,0.010472
7.5,1.176502,0.196084,-9.804186,-0.014835,0.027053,0.010472
7.52,1.111141,0.196084,-9.869547,-0.007854,0.027925,-0.000873
7.54,1.143822,0.163403,-9.804186,-0.020944,0.018326,0.007854
7.56,1.176502,0.228764,-9.771505,-0.020071,0.020944,0.009599
7.58,1.176502,0.163403,-9.836866,-0.008727,0.019199,0.003491
7.6,1.143822,0.163403,-9.804186,-0.000873,0.02618,0.014835
7.62,1.176502,0.228764,-9.804186,0.006109,0.022689,0.01309
7.64,1.111141,0.261445,-9.804186,-0.001745,0.027925,0.002618
7.66,1.111141,0.228764,-9.836866,-0.006981,0.023562,-0.002618
7.68,1.209183,0.196084,-9.771505,-0.008727,0.015708,0.003491
